id,name,email,country,amount,date
412,Diana 412,diana.412412@example.com,Germany,681.52,2024-10-19
413,Hannah 413,hannah.413413@example.com,Italy,771.74,2024-07-14
414,Ivan 414,ivan.414414@example.com,Japan,424.47,2024-03-23
415,Diana 415,diana.415415@example.com,Brazil,147.01,2024-05-08
416,Alice 416,alice.416416@example.com,Italy,875.37,2024-10-10
417,Bob 417,bob.417417@example.com,Japan,852.65,2024-05-25
418,Bob 418,bob.418418@example.com,Canada,280.06,2024-09-19
419,Carlos 419,carlos.419419@example.com,Spain,100.8,2024-04-23
420,Hannah 420,hannah.420420@example.com,Germany,931.16,2024-07-31
421,Alice 421,alice.421421@example.com,Spain,506.98,2024-04-30
422,George 422,george.422422@example.com,Mexico,381.16,2024-01-15
423,Fatima 423,fatima.423423@example.com,Mexico,840.78,2024-11-28
424,Fatima 424,fatima.424424@example.com,Canada,146.22,2024-05-26
425,Hannah 425,hannah.425425@example.com,Canada,761.25,2024-08-28
426,Hannah 426,hannah.426426@example.com,Brazil,15.2,2024-02-10
427,Alice 427,alice.427427@example.com,France,223.5,2024-03-17
428,Ivan 428,ivan.428428@example.com,Brazil,532.49,2024-02-26
429,Eduardo 429,eduardo.429429@example.com,UK,308.14,2024-01-25
430,Diana 430,diana.430430@example.com,Spain,642.56,2024-11-14
431,Hannah 431,hannah.431431@example.com,Mexico,119.75,2024-09-12
432,Julia 432,julia.432432@example.com,Japan,26.27,2024-09-20
433,Julia 433,julia.433433@example.com,UK,721.35,2024-05-29
434,George 434,george.434434@example.com,USA,618.66,2024-05-03
435,Julia 435,julia.435435@example.com,Spain,195.44,2024-12-08
436,Bob 436,bob.436436@example.com,Japan,974.9,2024-02-04
437,Ivan 437,ivan.437437@example.com,Japan,512.25,2024-09-16
438,Ivan 438,ivan.438438@example.com,USA,396.55,2024-08-28
439,Alice 439,alice.439439@example.com,Spain,981.22,2024-05-09
440,Alice 440,alice.440440@example.com,Germany,790.63,2024-06-25
441,Diana 441,diana.441441@example.com,Mexico,773.78,2024-06-19
442,Carlos 442,carlos.442442@example.com,USA,358.77,2024-06-22
443,Carlos 443,carlos.443443@example.com,Italy,981.0,2024-09-02
444,Carlos 444,carlos.444444@example.com,Canada,72.47,2024-08-22
445,Alice 445,alice.445445@example.com,France,209.57,2024-04-12
446,Alice 446,alice.446446@example.com,Germany,934.03,2024-09-20
447,George 447,george.447447@example.com,Japan,478.66,2024-01-19
448,Diana 448,diana.448448@example.com,France,363.4,2024-01-25
449,Fatima 449,fatima.449449@example.com,France,133.23,2024-07-07
450,George 450,george.450450@example.com,Spain,745.87,2024-07-16
451,Fatima 451,fatima.451451@example.com,Canada,501.24,2024-09-11
452,Fatima 452,fatima.452452@example.com,Japan,274.05,2024-02-12
453,George 453,george.453453@example.com,Mexico,436.3,2024-04-02
454,Ivan 454,ivan.454454@example.com,France,328.0,2024-02-10
455,Fatima 455,fatima.455455@example.com,France,313.43,2024-11-04
456,George 456,george.456456@example.com,Canada,692.86,2024-06-28
457,Hannah 457,hannah.457457@example.com,USA,729.54,2024-06-29
458,Julia 458,julia.458458@example.com,Spain,281.81,2024-01-30
459,Bob 459,bob.459459@example.com,Spain,369.67,2024-12-13
460,Carlos 460,carlos.460460@example.com,USA,151.35,2024-11-07
461,Hannah 461,hannah.461461@example.com,USA,134.97,2024-04-30
462,Fatima 462,fatima.462462@example.com,Germany,389.02,2024-10-17
463,Alice 463,alice.463463@example.com,Brazil,161.9,2024-08-18
464,Fatima 464,fatima.464464@example.com,Germany,449.5,2024-02-09
465,Julia 465,julia.465465@example.com,Canada,534.16,2024-07-22
466,Fatima 466,fatima.466466@example.com,France,257.11,2024-02-28
467,Alice 467,alice.467467@example.com,Canada,504.05,2024-07-17
468,Ivan 468,ivan.468468@example.com,Mexico,269.16,2024-05-13
469,Hannah 469,hannah.469469@example.com,UK,996.39,2024-05-26
470,Hannah 470,hannah.470470@example.com,UK,131.41,2024-02-07
471,Hannah 471,hannah.471471@example.com,Canada,899.68,2024-08-15
472,Bob 472,bob.472472@example.com,Germany,671.15,2024-12-29
473,Bob 473,bob.473473@example.com,Japan,546.74,2024-06-02
474,Carlos 474,carlos.474474@example.com,Canada,795.75,2024-09-17
475,Diana 475,diana.475475@example.com,Mexico,985.27,2024-03-12
476,Diana 476,diana.476476@example.com,Italy,36.02,2024-10-10
477,Julia 477,julia.477477@example.com,Germany,472.73,2024-10-09
478,Carlos 478,carlos.478478@example.com,Brazil,885.4,2024-02-03
479,Eduardo 479,eduardo.479479@example.com,Spain,999.59,2024-09-02
480,Ivan 480,ivan.480480@example.com,Spain,771.47,2024-10-21
481,Bob 481,bob.481481@example.com,Canada,972.65,2024-11-24
482,Bob 482,bob.482482@example.com,Italy,471.17,2024-09-21
483,Fatima 483,fatima.483483@example.com,Canada,879.17,2024-10-09
484,Julia 484,julia.484484@example.com,Canada,770.1,2024-03-07
485,George 485,george.485485@example.com,Japan,911.6,2024-01-29
486,Bob 486,bob.486486@example.com,Japan,161.48,2024-03-25
487,Carlos 487,carlos.487487@example.com,Germany,935.38,2024-04-25
488,Fatima 488,fatima.488488@example.com,Japan,895.97,2024-02-10
489,Eduardo 489,eduardo.489489@example.com,UK,638.7,2024-10-09
490,Eduardo 490,eduardo.490490@example.com,Canada,628.77,2024-11-10
491,Ivan 491,ivan.491491@example.com,Mexico,507.54,2024-03-27
492,Julia 492,julia.492492@example.com,Brazil,162.65,2024-12-03
493,Julia 493,julia.493493@example.com,Brazil,344.24,2024-10-15
494,Alice 494,alice.494494@example.com,USA,90.41,2024-11-24
495,Julia 495,julia.495495@example.com,France,654.61,2024-10-19
496,George 496,george.496496@example.com,Brazil,642.59,2024-09-11
497,Ivan 497,ivan.497497@example.com,France,645.48,2024-06-03
498,Hannah 498,hannah.498498@example.com,UK,806.63,2024-12-16
499,George 499,george.499499@example.com,France,459.0,2024-12-18
500,Alice 500,alice.500500@example.com,Canada,445.21,2024-09-04
501,Hannah 501,hannah.501501@example.com,UK,346.79,2024-03-14
502,Fatima 502,fatima.502502@example.com,Germany,736.85,2024-06-25
503,George 503,george.503503@example.com,Canada,763.05,2024-09-20
504,Ivan 504,ivan.504504@example.com,Mexico,325.92,2024-08-26
505,Bob 505,bob.505505@example.com,France,455.1,2024-03-13
506,Bob 506,bob.506506@example.com,USA,297.31,2024-07-15
507,Julia 507,julia.507507@example.com,Spain,255.79,2024-03-22
508,Fatima 508,fatima.508508@example.com,Brazil,723.91,2024-04-07
509,Carlos 509,carlos.509509@example.com,Italy,996.0,2024-08-27
510,Hannah 510,hannah.510510@example.com,France,502.39,2024-02-16
511,George 511,george.511511@example.com,Japan,462.65,2024-05-03
512,Diana 512,diana.512512@example.com,Brazil,359.36,2024-01-26
513,Eduardo 513,eduardo.513513@example.com,Italy,601.54,2024-11-30
514,Hannah 514,hannah.514514@example.com,France,541.32,2024-02-25
515,George 515,george.515515@example.com,Canada,883.62,2024-07-06
516,George 516,george.516516@example.com,Germany,54.79,2024-01-27
517,Julia 517,julia.517517@example.com,Japan,202.71,2024-10-10
518,Eduardo 518,eduardo.518518@example.com,Mexico,392.48,2024-08-18
519,Ivan 519,ivan.519519@example.com,France,827.05,2024-11-15
520,Julia 520,julia.520520@example.com,Mexico,137.38,2024-02-19
521,George 521,george.521521@example.com,Germany,796.94,2024-06-22
522,Ivan 522,ivan.522522@example.com,Germany,757.41,2024-04-11
523,Julia 523,julia.523523@example.com,Japan,407.37,2024-01-21
524,Alice 524,alice.524524@example.com,USA,145.66,2024-06-19
525,Hannah 525,hannah.525525@example.com,Japan,462.41,2024-11-06
526,Ivan 526,ivan.526526@example.com,Canada,334.68,2024-11-09
527,Fatima 527,fatima.527527@example.com,Canada,399.02,2024-11-11
528,Eduardo 528,eduardo.528528@example.com,Brazil,343.01,2024-09-17
529,Ivan 529,ivan.529529@example.com,Italy,711.65,2024-06-02
530,Hannah 530,hannah.530530@example.com,USA,374.67,2024-12-10
531,Bob 531,bob.531531@example.com,Spain,587.86,2024-12-18
532,Alice 532,alice.532532@example.com,Brazil,479.84,2024-12-01
533,Julia 533,julia.533533@example.com,Brazil,235.27,2024-01-27
534,Julia 534,julia.534534@example.com,Italy,178.81,2024-11-18
535,Julia 535,julia.535535@example.com,Spain,156.3,2024-12-14
536,Diana 536,diana.536536@example.com,USA,576.84,2024-12-24
537,Bob 537,bob.537537@example.com,UK,28.75,2024-06-09
538,George 538,george.538538@example.com,Canada,418.83,2024-04-14
539,George 539,george.539539@example.com,Japan,777.21,2024-08-29
540,Alice 540,alice.540540@example.com,Canada,523.49,2024-10-14
541,Fatima 541,fatima.541541@example.com,Italy,530.22,2024-06-09
542,Carlos 542,carlos.542542@example.com,Italy,912.99,2024-06-24
543,Ivan 543,ivan.543543@example.com,Germany,679.1,2024-12-14
544,Eduardo 544,eduardo.544544@example.com,Brazil,489.33,2024-05-06
545,Eduardo 545,eduardo.545545@example.com,Japan,305.51,2024-06-01
546,Eduardo 546,eduardo.546546@example.com,UK,693.33,2024-09-07
547,Fatima 547,fatima.547547@example.com,Italy,355.31,2024-05-20
548,Eduardo 548,eduardo.548548@example.com,Mexico,577.74,2024-10-05
549,George 549,george.549549@example.com,Spain,820.19,2024-03-15
550,Eduardo 550,eduardo.550550@example.com,USA,294.75,2024-02-10
551,Fatima 551,fatima.551551@example.com,Italy,659.41,2024-09-02
552,Diana 552,diana.552552@example.com,UK,829.66,2024-05-18
553,Ivan 553,ivan.553553@example.com,France,145.9,2024-11-11
554,Julia 554,julia.554554@example.com,UK,250.03,2024-12-08
555,Ivan 555,ivan.555555@example.com,UK,641.56,2024-01-27
556,Bob 556,bob.556556@example.com,Spain,336.99,2024-08-29
557,Bob 557,bob.557557@example.com,Canada,15.13,2024-10-08
558,Carlos 558,carlos.558558@example.com,Spain,656.36,2024-08-31
559,Hannah 559,hannah.559559@example.com,UK,758.34,2024-05-27
560,Fatima 560,fatima.560560@example.com,France,649.43,2024-02-15
561,Julia 561,julia.561561@example.com,UK,539.8,2024-01-20
562,Carlos 562,carlos.562562@example.com,Spain,883.41,2024-03-31
563,Alice 563,alice.563563@example.com,Spain,790.07,2024-04-05
564,Eduardo 564,eduardo.564564@example.com,USA,19.17,2024-10-17
565,Julia 565,julia.565565@example.com,Mexico,929.16,2024-06-20
566,Eduardo 566,eduardo.566566@example.com,Italy,989.2,2024-10-05
567,Ivan 567,ivan.567567@example.com,Italy,890.36,2024-03-09
568,Ivan 568,ivan.568568@example.com,Italy,280.11,2024-02-27
569,Fatima 569,fatima.569569@example.com,Canada,733.8,2024-11-27
570,Eduardo 570,eduardo.570570@example.com,Canada,23.94,2024-06-21
571,Eduardo 571,eduardo.571571@example.com,Brazil,677.65,2024-04-08
572,Carlos 572,carlos.572572@example.com,Brazil,857.58,2024-07-26
573,George 573,george.573573@example.com,Japan,334.64,2024-07-24
574,Bob 574,bob.574574@example.com,Canada,981.86,2024-09-01
575,Fatima 575,fatima.575575@example.com,UK,16.76,2024-07-15
576,Diana 576,diana.576576@example.com,Italy,756.21,2024-06-17
577,Eduardo 577,eduardo.577577@example.com,Brazil,725.65,2024-01-06
578,Eduardo 578,eduardo.578578@example.com,Germany,695.83,2024-02-01
579,Bob 579,bob.579579@example.com,Italy,313.74,2024-07-26
580,Ivan 580,ivan.580580@example.com,France,693.38,2024-11-23
581,Eduardo 581,eduardo.581581@example.com,Germany,618.47,2024-04-22
582,Carlos 582,carlos.582582@example.com,Italy,161.65,2024-11-06
583,Fatima 583,fatima.583583@example.com,Spain,704.91,2024-08-29
584,Ivan 584,ivan.584584@example.com,UK,764.23,2024-12-14
585,Julia 585,julia.585585@example.com,Mexico,530.25,2024-09-27
586,Fatima 586,fatima.586586@example.com,Mexico,918.06,2024-02-27
587,Alice 587,alice.587587@example.com,Japan,903.85,2024-04-13
588,Julia 588,julia.588588@example.com,Japan,158.35,2024-06-16
589,Ivan 589,ivan.589589@example.com,Italy,125.08,2024-04-15
590,Julia 590,julia.590590@example.com,Italy,100.03,2024-09-18
591,Hannah 591,hannah.591591@example.com,USA,458.89,2024-09-19
592,George 592,george.592592@example.com,Italy,568.27,2024-10-13
593,Hannah 593,hannah.593593@example.com,France,726.04,2024-07-21
594,Eduardo 594,eduardo.594594@example.com,USA,748.34,2024-10-23
595,Bob 595,bob.595595@example.com,USA,429.46,2024-12-24
596,Bob 596,bob.596596@example.com,Japan,994.17,2024-02-05
597,Hannah 597,hannah.597597@example.com,USA,294.22,2024-04-02
598,Carlos 598,carlos.598598@example.com,Spain,380.71,2024-07-14
599,Hannah 599,hannah.599599@example.com,Spain,381.89,2024-12-15
600,Ivan 600,ivan.600600@example.com,Canada,656.99,2024-06-27
601,Bob 601,bob.601601@example.com,Canada,992.91,2024-07-20
602,Ivan 602,ivan.602602@example.com,Canada,730.57,2024-04-24
603,Alice 603,alice.603603@example.com,USA,978.7,2024-08-25
604,Ivan 604,ivan.604604@example.com,Spain,536.61,2024-04-27
605,Diana 605,diana.605605@example.com,Italy,352.69,2024-05-21
606,Diana 606,diana.606606@example.com,Mexico,41.89,2024-12-04
607,George 607,george.607607@example.com,Brazil,768.39,2024-01-09
608,Diana 608,diana.608608@example.com,UK,76.62,2024-10-31
609,Alice 609,alice.609609@example.com,Italy,601.8,2024-12-26
610,Alice 610,alice.610610@example.com,UK,743.13,2024-07-24
611,Hannah 611,hannah.611611@example.com,UK,544.36,2024-01-29
612,Carlos 612,carlos.612612@example.com,Japan,993.54,2024-04-29
613,Julia 613,julia.613613@example.com,Germany,581.69,2024-12-10
614,Fatima 614,fatima.614614@example.com,UK,308.74,2024-03-14
615,Ivan 615,ivan.615615@example.com,UK,419.42,2024-05-20
616,Alice 616,alice.616616@example.com,Japan,949.03,2024-03-30
617,George 617,george.617617@example.com,Japan,500.66,2024-06-25
618,George 618,george.618618@example.com,Japan,325.54,2024-08-01
619,George 619,george.619619@example.com,Canada,306.89,2024-04-04
620,Ivan 620,ivan.620620@example.com,Italy,248.56,2024-04-25
621,Eduardo 621,eduardo.621621@example.com,Canada,807.71,2024-01-30
622,Ivan 622,ivan.622622@example.com,Spain,968.1,2024-10-12
623,Ivan 623,ivan.623623@example.com,Canada,394.53,2024-05-10
624,Diana 624,diana.624624@example.com,Germany,650.23,2024-08-18
625,Fatima 625,fatima.625625@example.com,Mexico,540.27,2024-04-07
626,Alice 626,alice.626626@example.com,France,383.39,2024-11-05
627,Julia 627,julia.627627@example.com,USA,874.88,2024-04-06
628,Julia 628,julia.628628@example.com,Japan,224.84,2024-04-16
629,Fatima 629,fatima.629629@example.com,France,957.44,2024-01-08
630,Diana 630,diana.630630@example.com,UK,962.45,2024-03-01
631,Hannah 631,hannah.631631@example.com,UK,698.66,2024-12-26
632,Diana 632,diana.632632@example.com,Spain,915.97,2024-10-09
633,Fatima 633,fatima.633633@example.com,France,386.85,2024-09-30
634,Fatima 634,fatima.634634@example.com,France,268.94,2024-09-19
635,Hannah 635,hannah.635635@example.com,Italy,107.62,2024-08-28
636,Fatima 636,fatima.636636@example.com,UK,376.99,2024-07-30
637,Alice 637,alice.637637@example.com,Brazil,865.44,2024-03-15
638,Alice 638,alice.638638@example.com,France,557.77,2024-10-26
639,Julia 639,julia.639639@example.com,Spain,302.24,2024-04-10
640,Fatima 640,fatima.640640@example.com,UK,386.04,2024-05-05
641,Hannah 641,hannah.641641@example.com,Japan,658.06,2024-12-16
642,Fatima 642,fatima.642642@example.com,France,765.72,2024-09-07
643,Hannah 643,hannah.643643@example.com,Italy,176.55,2024-06-29
644,Carlos 644,carlos.644644@example.com,Canada,723.1,2024-09-07
645,Carlos 645,carlos.645645@example.com,Japan,990.41,2024-01-31
646,Ivan 646,ivan.646646@example.com,USA,840.67,2024-02-08
647,Alice 647,alice.647647@example.com,USA,418.26,2024-11-18
648,Diana 648,diana.648648@example.com,Mexico,710.09,2024-01-05
649,Diana 649,diana.649649@example.com,Japan,461.45,2024-01-31
650,Julia 650,julia.650650@example.com,Brazil,913.61,2024-12-03
651,Hannah 651,hannah.651651@example.com,USA,16.55,2024-10-09
652,George 652,george.652652@example.com,USA,26.56,2024-05-20
653,Ivan 653,ivan.653653@example.com,France,26.97,2024-12-23
654,George 654,george.654654@example.com,Canada,115.95,2024-02-19
655,Ivan 655,ivan.655655@example.com,Canada,248.56,2024-11-13
656,Ivan 656,ivan.656656@example.com,France,817.05,2024-05-16
657,George 657,george.657657@example.com,Mexico,379.32,2024-07-26
658,Hannah 658,hannah.658658@example.com,Brazil,250.77,2024-12-22
659,Diana 659,diana.659659@example.com,France,687.19,2024-02-11
660,Alice 660,alice.660660@example.com,Mexico,411.22,2024-07-12
661,Ivan 661,ivan.661661@example.com,Italy,65.55,2024-01-05
662,Carlos 662,carlos.662662@example.com,Mexico,504.85,2024-08-10
663,Fatima 663,fatima.663663@example.com,Brazil,977.55,2024-02-18
664,Ivan 664,ivan.664664@example.com,USA,237.47,2024-12-20
665,Julia 665,julia.665665@example.com,Italy,278.38,2024-02-08
666,Eduardo 666,eduardo.666666@example.com,Japan,567.87,2024-01-17
667,Carlos 667,carlos.667667@example.com,Germany,25.5,2024-04-16
668,Julia 668,julia.668668@example.com,Canada,754.72,2024-12-30
669,George 669,george.669669@example.com,Mexico,306.28,2024-10-15
670,Diana 670,diana.670670@example.com,Brazil,836.3,2024-07-18
671,Ivan 671,ivan.671671@example.com,Germany,390.0,2024-03-12
672,Bob 672,bob.672672@example.com,Japan,747.99,2024-06-26
673,Alice 673,alice.673673@example.com,Mexico,442.71,2024-02-08
674,Fatima 674,fatima.674674@example.com,Brazil,771.31,2024-10-31
675,George 675,george.675675@example.com,Germany,39.33,2024-05-19
676,Hannah 676,hannah.676676@example.com,Italy,235.85,2024-10-10
677,George 677,george.677677@example.com,Spain,193.88,2024-10-26
678,George 678,george.678678@example.com,Mexico,774.44,2024-05-31
679,Diana 679,diana.679679@example.com,Mexico,91.22,2024-03-19
680,George 680,george.680680@example.com,Canada,742.25,2024-06-11
681,Fatima 681,fatima.681681@example.com,Mexico,100.6,2024-06-06
682,Hannah 682,hannah.682682@example.com,Germany,763.73,2024-02-22
683,Carlos 683,carlos.683683@example.com,Mexico,195.52,2024-08-17
684,Ivan 684,ivan.684684@example.com,Japan,517.31,2024-02-22
685,Alice 685,alice.685685@example.com,Mexico,360.37,2024-02-17
686,Julia 686,julia.686686@example.com,Brazil,786.59,2024-07-16
687,Alice 687,alice.687687@example.com,France,419.67,2024-02-13
688,Ivan 688,ivan.688688@example.com,UK,576.24,2024-03-27
689,George 689,george.689689@example.com,Canada,147.45,2024-06-03
690,Eduardo 690,eduardo.690690@example.com,Italy,154.47,2024-03-26
691,George 691,george.691691@example.com,France,426.89,2024-09-04
692,Bob 692,bob.692692@example.com,Germany,259.18,2024-05-06
693,Hannah 693,hannah.693693@example.com,Brazil,620.5,2024-08-22
694,Bob 694,bob.694694@example.com,Canada,311.61,2024-07-21
695,Fatima 695,fatima.695695@example.com,Brazil,386.09,2024-06-17
696,Hannah 696,hannah.696696@example.com,Germany,436.31,2024-11-29
697,Julia 697,julia.697697@example.com,Canada,307.43,2024-11-04
698,Diana 698,diana.698698@example.com,Italy,321.04,2024-07-22
699,Fatima 699,fatima.699699@example.com,France,737.52,2024-11-20
700,Hannah 700,hannah.700700@example.com,Brazil,784.15,2024-06-15
701,George 701,george.701701@example.com,France,818.32,2024-07-20
702,Fatima 702,fatima.702702@example.com,Mexico,932.74,2024-04-12
703,Julia 703,julia.703703@example.com,Japan,188.13,2024-10-08
704,Alice 704,alice.704704@example.com,Italy,943.54,2024-04-17
705,Hannah 705,hannah.705705@example.com,France,832.96,2024-02-05
706,George 706,george.706706@example.com,Italy,147.79,2024-06-04
707,Diana 707,diana.707707@example.com,France,662.07,2024-08-04
708,George 708,george.708708@example.com,Mexico,454.57,2024-11-02
709,Hannah 709,hannah.709709@example.com,Brazil,406.79,2024-09-16
710,George 710,george.710710@example.com,Japan,46.4,2024-07-03
711,Ivan 711,ivan.711711@example.com,Brazil,641.79,2024-02-13
712,Bob 712,bob.712712@example.com,UK,661.02,2024-06-30
713,Carlos 713,carlos.713713@example.com,Brazil,53.85,2024-11-26
714,George 714,george.714714@example.com,Germany,966.05,2024-08-08
715,Bob 715,bob.715715@example.com,USA,107.62,2024-04-23
716,Ivan 716,ivan.716716@example.com,Japan,562.41,2024-12-18
717,Julia 717,julia.717717@example.com,UK,451.32,2024-07-19
718,Hannah 718,hannah.718718@example.com,Brazil,693.53,2024-03-18
719,Fatima 719,fatima.719719@example.com,USA,487.94,2024-05-31
720,George 720,george.720720@example.com,Mexico,124.91,2024-03-13
721,Fatima 721,fatima.721721@example.com,France,349.63,2024-04-15
722,Ivan 722,ivan.722722@example.com,Italy,354.81,2024-02-19
723,Hannah 723,hannah.723723@example.com,Italy,325.72,2024-06-02
724,Alice 724,alice.724724@example.com,Mexico,32.36,2024-06-24
725,Bob 725,bob.725725@example.com,Canada,930.61,2024-05-04
726,Ivan 726,ivan.726726@example.com,Canada,556.39,2024-06-18
727,Ivan 727,ivan.727727@example.com,Spain,958.87,2024-04-28
728,George 728,george.728728@example.com,Canada,194.52,2024-12-02
729,George 729,george.729729@example.com,Spain,38.9,2024-11-10
730,Diana 730,diana.730730@example.com,Italy,596.28,2024-07-18
731,Alice 731,alice.731731@example.com,UK,213.72,2024-12-26
732,Bob 732,bob.732732@example.com,Brazil,110.73,2024-10-01
733,Carlos 733,carlos.733733@example.com,Germany,332.72,2024-08-22
734,Bob 734,bob.734734@example.com,France,673.99,2024-09-07
735,Ivan 735,ivan.735735@example.com,Germany,601.0,2024-11-08
736,George 736,george.736736@example.com,Brazil,123.09,2024-06-29
737,Hannah 737,hannah.737737@example.com,Brazil,180.8,2024-12-10
738,Eduardo 738,eduardo.738738@example.com,Brazil,594.26,2024-12-10
739,Carlos 739,carlos.739739@example.com,Germany,126.68,2024-06-05
740,Bob 740,bob.740740@example.com,Canada,379.57,2024-03-13
741,Ivan 741,ivan.741741@example.com,Spain,424.05,2024-03-11
742,Julia 742,julia.742742@example.com,Spain,428.8,2024-09-06
743,Ivan 743,ivan.743743@example.com,Canada,559.36,2024-09-07
744,Eduardo 744,eduardo.744744@example.com,Canada,195.23,2024-08-18
745,Julia 745,julia.745745@example.com,USA,866.86,2024-01-05
746,Hannah 746,hannah.746746@example.com,Canada,203.18,2024-07-15
747,Ivan 747,ivan.747747@example.com,Japan,656.53,2024-07-28
748,Hannah 748,hannah.748748@example.com,Spain,713.03,2024-08-15
749,Hannah 749,hannah.749749@example.com,Canada,91.84,2024-01-16
750,Diana 750,diana.750750@example.com,France,42.37,2024-04-25
751,Ivan 751,ivan.751751@example.com,France,176.53,2024-08-22
752,Julia 752,julia.752752@example.com,Italy,554.22,2024-02-27
753,Julia 753,julia.753753@example.com,Mexico,275.21,2024-10-05
754,Fatima 754,fatima.754754@example.com,Japan,824.38,2024-01-22
755,Hannah 755,hannah.755755@example.com,Japan,226.35,2024-08-05
756,Bob 756,bob.756756@example.com,UK,304.73,2024-01-17
757,Hannah 757,hannah.757757@example.com,France,355.09,2024-02-14
758,Hannah 758,hannah.758758@example.com,Mexico,777.87,2024-05-01
759,Diana 759,diana.759759@example.com,Brazil,692.24,2024-12-29
760,Julia 760,julia.760760@example.com,Spain,174.32,2024-03-12
761,Diana 761,diana.761761@example.com,UK,807.38,2024-10-18
762,Fatima 762,fatima.762762@example.com,Japan,288.27,2024-10-02
763,Carlos 763,carlos.763763@example.com,Germany,979.2,2024-05-29
764,Eduardo 764,eduardo.764764@example.com,Brazil,274.67,2024-09-20
765,Bob 765,bob.765765@example.com,Canada,963.13,2024-07-29
766,Alice 766,alice.766766@example.com,France,868.37,2024-03-05
767,Carlos 767,carlos.767767@example.com,UK,154.78,2024-06-13
768,Diana 768,diana.768768@example.com,Spain,494.56,2024-10-22
769,Eduardo 769,eduardo.769769@example.com,Spain,381.42,2024-02-08
770,Bob 770,bob.770770@example.com,Spain,520.45,2024-05-22
771,Fatima 771,fatima.771771@example.com,Italy,950.74,2024-06-16
772,Julia 772,julia.772772@example.com,USA,870.21,2024-02-17
773,Hannah 773,hannah.773773@example.com,Germany,851.6,2024-09-30
774,George 774,george.774774@example.com,UK,968.44,2024-04-18
775,Hannah 775,hannah.775775@example.com,France,329.63,2024-05-25
776,Fatima 776,fatima.776776@example.com,Japan,582.15,2024-10-16
777,Hannah 777,hannah.777777@example.com,Germany,895.2,2024-01-25
778,Alice 778,alice.778778@example.com,Mexico,629.91,2024-08-23
779,Alice 779,alice.779779@example.com,Mexico,930.13,2024-03-21
780,Hannah 780,hannah.780780@example.com,Italy,10.67,2024-08-07
781,Diana 781,diana.781781@example.com,Canada,883.32,2024-06-03
782,Carlos 782,carlos.782782@example.com,France,102.41,2024-07-03
783,Eduardo 783,eduardo.783783@example.com,Mexico,378.12,2024-11-28
784,Carlos 784,carlos.784784@example.com,USA,402.37,2024-06-05
785,Diana 785,diana.785785@example.com,Spain,658.92,2024-12-26
786,Bob 786,bob.786786@example.com,USA,221.28,2024-02-09
787,Carlos 787,carlos.787787@example.com,Brazil,233.93,2024-12-14
788,Hannah 788,hannah.788788@example.com,USA,17.98,2024-06-24
789,Bob 789,bob.789789@example.com,Spain,697.08,2024-09-01
790,Bob 790,bob.790790@example.com,UK,389.24,2024-02-22
791,Bob 791,bob.791791@example.com,Germany,373.88,2024-06-02
792,Carlos 792,carlos.792792@example.com,Spain,775.72,2024-03-09
793,Carlos 793,carlos.793793@example.com,Mexico,535.2,2024-01-05
794,Julia 794,julia.794794@example.com,Canada,445.69,2024-04-19
795,Carlos 795,carlos.795795@example.com,Spain,619.91,2024-08-14
796,Diana 796,diana.796796@example.com,Mexico,897.62,2024-03-12
797,Bob 797,bob.797797@example.com,Brazil,732.7,2024-06-28
798,George 798,george.798798@example.com,Germany,793.16,2024-05-06
799,Eduardo 799,eduardo.799799@example.com,Mexico,255.68,2024-11-03
800,Julia 800,julia.800800@example.com,Brazil,292.07,2024-12-19
801,Alice 801,alice.801801@example.com,France,213.39,2024-11-06
802,Ivan 802,ivan.802802@example.com,UK,750.36,2024-05-31
803,Alice 803,alice.803803@example.com,UK,499.93,2024-02-27
804,Diana 804,diana.804804@example.com,Italy,641.7,2024-02-06
805,Ivan 805,ivan.805805@example.com,USA,987.0,2024-06-11
806,Carlos 806,carlos.806806@example.com,Spain,862.2,2024-10-18
807,George 807,george.807807@example.com,Germany,550.89,2024-03-29
808,Hannah 808,hannah.808808@example.com,Mexico,26.52,2024-02-04
809,Alice 809,alice.809809@example.com,France,223.58,2024-01-31
810,George 810,george.810810@example.com,Japan,293.62,2024-12-30
811,Ivan 811,ivan.811811@example.com,Spain,429.34,2024-07-24
812,Bob 812,bob.812812@example.com,Japan,542.27,2024-03-19
813,Eduardo 813,eduardo.813813@example.com,Mexico,316.8,2024-09-18
814,Diana 814,diana.814814@example.com,Canada,541.02,2024-07-19
815,Julia 815,julia.815815@example.com,Mexico,317.06,2024-08-11
816,Diana 816,diana.816816@example.com,USA,252.03,2024-08-10
817,Bob 817,bob.817817@example.com,Italy,616.17,2024-01-29
818,Eduardo 818,eduardo.818818@example.com,Canada,128.25,2024-12-28
819,Carlos 819,carlos.819819@example.com,USA,172.19,2024-06-26
820,Ivan 820,ivan.820820@example.com,Japan,785.15,2024-05-12
821,Carlos 821,carlos.821821@example.com,Germany,135.66,2024-05-17
822,Bob 822,bob.822822@example.com,USA,341.66,2024-08-07
823,Eduardo 823,eduardo.823823@example.com,Japan,73.23,2024-12-30
824,Julia 824,julia.824824@example.com,Mexico,501.18,2024-09-18
825,Fatima 825,fatima.825825@example.com,USA,504.61,2024-10-17
826,Carlos 826,carlos.826826@example.com,Germany,165.74,2024-02-22
